WGT,RACE,NETWORTH
 4359.8357084000,1,   4097000.00
 4760.3925376000,1,   4097000.00
 5193.1888855000,1,   4098000.00
 4609.1412007000,1,   4098000.00
 4492.6527471000,1,   4098000.00
 1811.3241627000,2,    -54320.00
 1842.8456281000,2,    -54320.00
 1819.5422544000,2,    -54320.00
 1829.6475061000,2,    -54320.00
 1823.9413113000,2,    -54320.00
 9295.5860795000,1,     12980.00
 9011.4032618000,1,      1700.00
 9191.3009438000,1,     27960.00
 9098.5115870000,1,     24640.00
 9071.0057497000,1,     -2970.00
12344.4298300000,2,    242800.00
11796.8295690000,2,    241800.00
12047.3410060000,2,    247800.00
12034.5121820000,2,    247800.00
11868.5688720000,2,    241800.00
13485.9614940000,1,    155900.00
12952.2948440000,1,    160900.00
13130.1616800000,1,    160900.00
13068.3719620000,1,    150000.00
13001.0562360000,1,    157900.00
 7543.2715749000,1,    -17495.00
 7844.3349082000,1,    -24495.00
 7729.0762720000,1,    -27595.00
 7550.8350157000,1,     -9480.00
 7873.5995419000,1,     -8490.00
10739.7979820000,1,    412500.00
10314.8025520000,1,    413500.00
10456.4501380000,1,    413500.00
10407.2427380000,1,    413500.00
10353.6346000000,1,    413500.00
  126.2409363500,1,   9803500.00
  132.4786141800,1,   9820500.00
  138.8327508300,1,   9820500.00
  132.6696320600,1,   9348500.00
  128.5224884700,1,   9803500.00
 1707.5384376000,1,  10354000.00
 1819.4080444000,1,  12147000.00
 1897.9603164000,1,  14706000.00
 1824.4768624000,1,  11836000.00
 1719.6961246000,1,   9472000.00
 7584.8735811000,1,     28221.00
 7643.2197387000,1,     27321.00
 7644.1512007000,1,     28321.00
 7719.6978555000,1,     28321.00
 7662.0759403000,1,     28121.00
 7629.1017878000,1,    936000.00
 7654.0841169000,1,    934000.00
 8247.0895540000,1,    938000.00
 7862.6688612000,1,    934900.00
 8373.1139226000,1,    937900.00
 2446.1577671000,1,    518750.00
 2455.9654181000,1,    449750.00
 2643.5884641000,1,    472750.00
 2522.3265069000,1,    492750.00
 2684.3884213000,1,    502750.00
14131.3877420000,1,    105400.00
13625.8733570000,1,    114400.00
13492.4217250000,1,    111400.00
13691.7654880000,1,    115400.00
13405.5706410000,1,     94200.00
 9850.0140561000,1,   1715710.00
10206.3954640000,1,   1351800.00
 9324.6414608000,1,   1005100.00
 9696.4509251000,1,   1158800.00
 9658.7849350000,1,   2059900.00
15735.7060100000,1,     58000.00
15750.6768320000,1,     57000.00
15722.5897210000,1,     55000.00
15744.3676590000,1,     67000.00
15731.0975930000,1,     68000.00
 8923.1001495000,2,     14000.00
 9016.5810897000,2,     14000.00
 8889.7639048000,2,     14000.00
 9001.0571398000,1,     15000.00
 9027.6096712000,1,     14000.00
 9315.9932233000,1,    129980.00
 9279.3774266000,1,    115210.00
 9315.1085848000,1,    111530.00
 9352.6442782000,1,    167710.00
 9329.5054050000,1,     76840.00
13123.6637700000,1,    373600.00
12826.4876430000,1,    179000.00
12635.4482420000,1,    304300.00
12933.5670140000,1,    326210.00
12545.2194440000,1,    189500.00
 7512.4339593000,1,   1360000.00
 7540.3455075000,1,   1360000.00
 8116.6003481000,1,   1360000.00
 7741.8643574000,1,   1359000.00
 8241.8802257000,1,   1360000.00
 1466.6269738000,2,       300.00
 1476.7115758000,2,       300.00
 1481.3690828000,2,       300.00
 1480.3368008000,2,       300.00
 1483.6185121000,2,       300.00
13270.5934050000,2,    379190.00
13916.5305150000,2,    457400.00
15087.6663170000,2,    414300.00
13731.0800990000,2,    500500.00
15323.5106580000,2,    398600.00
10832.2190870000,1,    573200.00
10866.7638810000,1,    577000.00
11702.2408510000,1,    567000.00
11154.5101830000,1,    573800.00
11884.7140380000,1,    598000.00
